ORDER_ID,ORDER_DESC,CLASS_ID,CREATED_BY,DATE_CREATED,MODIFIED_BY,DATE_MODIFIED
1,Anseriformes,2,,,,
2,Anura,1,,,,
3,Apodiformes,2,,,,
4,Artiodactyla,3,,,,
5,Caprimulgiformes,2,,,,
6,Carnivora,3,,,,
7,Casuariiformes,2,,,,
8,Caudata,1,,,,
9,Cetacea,3,,,,
10,Charadriiformes,2,,,,
11,Chiroptera,3,,,,
12,Ciconiiformes,2,,,,
13,Coliiformes,2,,,,
14,Columbiformes,2,,,,
15,Coraciiformes,2,,,,
16,Crocodylia,4,,,,
17,Cuculiformes,2,,,,
18,Dermoptera,3,,,,
19,Didelphimorphia,3,,,,
20,Dinornithiformes,2,,,,
21,Diprotodontia,3,,,,
22,Falconiformes,2,,,,
23,Galliformes,2,,,,
24,Gaviiformes,2,,,,
25,Gruiformes,2,,,,
26,Gymnophiona,1,,,,
27,Hyracoidea,3,,,,
28,Insectivora,3,,,,
29,Lagomorpha,3,,,,
30,Macroscelidea,3,,,,
31,Microbiotheria,3,,,,
32,Monotremata,3,,,,
33,Musophagiformes,2,,,,
34,Notoryctemorphia,3,,,,
37,Passeriformes,2,,,,
38,Paucituberculata,3,,,,
39,Pelecaniformes,2,,,,
40,Perissodactyla,3,,,,
41,Phoenicopteriformes,2,,,,
42,Pholidota,3,,,,
43,Piciformes,2,,,,
44,Podicipediformes,2,,,,
45,Primates,3,,,,
46,Proboscidea,3,,,,
47,Procellariiformes,2,,,,
48,Psittaciformes,2,,,,
49,Pterocliformes,2,,,,
50,Rheiformes,2,,,,
51,Rhynchocephalia,4,,,,
52,Rodentia,3,,,,
53,Scandentia,3,,,,
54,Sirenia,3,,,,
55,Sphenisciformes,2,,,,
56,Squamata,4,,,,
57,Strigiformes,2,,,,
58,Struthioniformes,2,,,,
59,Testudinata,4,,,,
60,Tinamiformes,2,,,,
61,Trochiliformes,2,,,,
62,Trogoniformes,2,,,,
63,Tubulidentata,3,,,,
64,Xenarthra,3,,,,
65,Afrosoricida,3,,,,
66,Cingulata,3,,,,
67,Dasyuromorphia,3,,,,
68,Erinaceomorpha,3,,,,
69,Lipotyphla,3,,,,
70,Peramelemorphia,3,,,,
71,Pilosa,3,,,,